Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024,History,Crime,Fantasy,War,Science Fiction,Action,Drama,Animation,Western,Romance,Documentary,Adventure,Mystery,Thriller,TV Movie,Family,Music,Horror,Comedy
Real Steel,2011,70.0,"Action,Science Fiction,Drama",3,English,110000000.0,263880341.0,153880341.0,"139,662,086.17","335,037,081.11","195,374,994.94",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cars,2006,69.0,"Animation,Adventure,Comedy,Family",4,English,70000000.0,461630558.0,391630558.0,"99,164,930.56","653,965,174.66","554,800,244.11",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Puss in Boots,2011,65.0,"Comedy,Fantasy,Animation,Romance,Adventure,Family",6,English,130000000.0,554987477.0,424987477.0,"165,055,192.74","704,642,807.58","539,587,614.84",0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
The Fate of the Furious,2017,69.0,"Action,Crime,Thriller",3,English,250000000.0,1236703796.0,986703796.0,"291,280,801.24","1,440,912,290.38","1,149,631,489.14",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Boyka: Undisputed IV,2016,71.0,"Action,Drama",2,English,119400000.0,343644155.0,224244155.0,"142,079,368.52","408,917,458.44","266,838,089.92",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Big Hero 6,2014,77.0,"Adventure,Family,Animation,Action,Comedy",5,English,165000000.0,647263005.0,482263005.0,"199,053,692.72","780,849,038.22","581,795,345.50",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
Dungeons & Dragons,2001,43.0,"Drama,Adventure,Fantasy",3,English,35000000.0,15185241.0,-19814759.0,"56,441,699.60","24,488,023.17","-31,953,676.43",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Killing Jesus,2015,65.0,"Drama,History,TV Movie",3,English,35580000.0,258973331.6,223393331.6,"42,872,326.04","312,051,408.29","269,179,082.25",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Inside Out,2015,79.0,"Animation,Family,Adventure,Drama,Comedy",5,English,175000000.0,850566343.0,675566343.0,"210,867,258.47","1,024,894,816.53","814,027,558.06",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
Fury,2014,75.0,"War,Drama,Action",3,English,80000000.0,210315681.0,130315681.0,"96,510,881.32","253,721,896.61","157,211,015.29",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Undisputed III: Redemption,2010,76.0,"Action,Thriller",2,English,3000000.0,78701381.8,75701381.8,"3,929,197.09","103,077,746.70","99,148,549.62",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Amazing Spider-Man,2012,67.0,"Action,Adventure,Fantasy",3,English,220000000.0,757890267.0,537890267.0,"273,660,897.06","942,749,683.37","669,088,786.31",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Evil Dead,2013,65.0,Horror,1,English,17000000.0,99010045.0,82010045.0,"20,841,249.67","121,381,945.17","100,540,695.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Spider-Man: Homecoming,2017,74.0,"Action,Adventure,Science Fiction,Drama",4,English,175000000.0,878271291.0,703271291.0,"203,896,560.87","1,023,294,261.40","819,397,700.53",0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
World War Z,2013,68.0,"Action,Drama,Horror,Science Fiction,Thriller",5,English,190000000.0,531861650.0,341861650.0,"232,931,613.99","652,038,908.18","419,107,294.19",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
Charlie and the Chocolate Factory,2005,70.0,"Adventure,Comedy,Family,Fantasy",4,English,150000000.0,475825484.0,325825484.0,"219,350,998.46","695,818,633.40","476,467,634.94",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
How to Train Your Dragon: The Hidden World,2019,78.0,"Animation,Family,Adventure",3,English,129000000.0,521533238.0,392533238.0,"144,106,185.24","582,605,933.37","438,499,748.13",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Pacific Rim,2013,69.0,"Action,Science Fiction,Adventure",3,English,190000000.0,411002906.0,221002906.0,"232,931,613.99","503,871,422.36","270,939,808.37",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Hangover,2009,73.0,Comedy,1,English,35000000.0,465487583.0,430487583.0,"46,592,545.81","619,664,329.54","573,071,783.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Emperor's New Groove,2001,75.0,"Adventure,Animation,Comedy,Family,Fantasy",5,English,100000000.0,169630573.0,69630573.0,"161,261,998.87","273,549,652.72","112,287,653.84",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
The Nun,2018,59.0,"Horror,Mystery,Thriller",3,English,22000000.0,363391647.0,341391647.0,"25,021,564.51","413,301,251.76","388,279,687.24",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Superfast!,2015,50.0,"Comedy,Action",2,English,20000000.0,3146707.8,-16853292.2,"24,099,115.25","3,791,643.70","-20,307,471.56",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
The Parent Trap,1998,71.0,"Comedy,Family",2,English,15000000.0,92108518.0,77108518.0,"26,281,748.47","161,384,860.11","135,103,111.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Furious 7,2015,72.0,"Action,Thriller,Crime",3,English,190000000.0,1514553486.0,1324553486.0,"228,941,594.91","1,824,969,950.82","1,596,028,355.92",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Conjuring 2,2016,73.0,"Horror,Thriller",2,English,40000000.0,321834351.0,281834351.0,"47,597,778.40","382,965,003.00","335,367,224.60",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Inception,2010,84.0,"Action,Science Fiction,Adventure",3,English,160000000.0,728537960.0,568537960.0,"209,557,177.97","954,189,743.40","744,632,565.42",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Frozen,2013,72.0,"Animation,Family,Adventure,Fantasy",4,English,150000000.0,1256887580.0,1106887580.0,"183,893,379.46","1,540,888,697.96","1,356,995,318.49",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
God's Not Dead: A Light in Darkness,2018,69.0,Drama,1,English,56400000.0,5728940.0,-50671060.0,"64,146,192.66","6,515,774.63","-57,630,418.03",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Prince of Egypt,1998,72.0,"Adventure,Animation,Drama,Family",4,English,60000000.0,218613188.0,158613188.0,"105,126,993.87","383,035,787.89","277,908,794.03",0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
It Chapter Two,2019,69.0,"Horror,Fantasy",2,English,79000000.0,473122525.0,394122525.0,"88,251,074.68","528,526,218.83","440,275,144.15",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Lord of the Rings: The Fellowship of the Ring,2001,84.0,"Adventure,Fantasy,Action",3,English,93000000.0,891216824.0,798216824.0,"149,973,658.95","1,437,194,064.65","1,287,220,405.70",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Finding Nemo,2003,78.0,"Animation,Family",2,English,94000000.0,936094852.0,842094852.0,"145,901,793.48","1,452,956,572.05","1,307,054,778.57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Grown Ups 2,2013,61.0,Comedy,1,English,80000000.0,247023808.0,167023808.0,"98,076,469.05","302,840,285.74","204,763,816.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
