Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024
Cars 3,2017,69.0,"Animation,Adventure,Comedy,Family", English,175000000.0,383541369.0,208541369.0,203896560.8681462,446872949.0843465,242976388.21620023
Interstellar,2014,84.0,"Adventure,Drama,Science Fiction", English,165000000.0,648082655.0,483082655.0,199053692.7210057,781837852.5223246,582784159.8013189
Coraline,2009,78.0,"Animation,Family,Fantasy", English,60000000.0,126037057.0,66037057.0,79872935.6707701,167782495.76490304,87909560.09413296
Harry Potter and the Goblet of Fire,2005,78.0,"Adventure,Fantasy,Family", English,150000000.0,886742787.0,736742787.0,219350998.46390173,1296719438.0607529,1077368439.596851
Harry Potter and the Half-Blood Prince,2009,77.0,"Adventure,Fantasy", English,250000000.0,929411069.0,679411069.0,332803898.6282087,1237246508.7656443,904442610.1374356
The Avengers,2012,77.0,"Science Fiction,Action,Adventure", English,225000000.0,1515100211.0,1290100211.0,279880462.9040829,1884653104.0033495,1604772641.0992668
Exodus: Gods and Kings,2014,58.0,"Adventure,Drama,Action", English,140000000.0,268314513.0,128314513.0,168894042.30873212,323690876.50477755,154796834.1960454
The Wolf of Wall Street,2014,80.0,"Crime,Drama,Comedy", English,100000000.0,389816136.0,289816136.0,120638601.64909437,470268735.4729319,349630133.8238376
Brothers,2010,73.0,"Drama,Thriller,War", English,26000000.0,45043870.0,19043870.0,34053041.42055252,58995414.26353782,24942372.84298529
Harry Potter and the Prisoner of Azkaban,2004,80.0,"Adventure,Fantasy", English,130000000.0,789592708.0,659592708.0,196544997.3530969,1193773051.5683432,997228054.2152462
Avengers: Endgame,2019,83.0,"Adventure,Science Fiction,Action", English,400000000.0,2794731755.0,2394731755.0,446840884.4662966,3122001023.1256137,2675160138.659317
Harry Potter and the Order of the Phoenix,2007,77.0,"Adventure,Fantasy,Mystery", English,150000000.0,939619849.0,789619849.0,206611540.35361865,1294242028.991497,1087630488.6378784
I Believe,2017,70.0,"Family,Drama", English,127600000.0,683545513.4,555945513.4,148669720.9530026,796414739.3092077,647745018.3562051
Cars 2,2011,61.0,"Animation,Family,Adventure,Comedy", English,200000000.0,560155383.0,360155383.0,253931065.75560486,711204266.9696451,457273201.2140403
Tangled,2011,76.0,"Animation,Family", English,260000000.0,583777242.0,323777242.0,330110385.48228633,741195886.1246383,411085500.6423519
Fifty Shades of Grey,2015,59.0,"Drama,Romance,Thriller", English,40000000.0,570794950.0,530794950.0,48198230.506672524,687782664.3036155,639584433.796943
Harry Potter and the Deathly Hallows: Part 2,2011,81.0,"Fantasy,Adventure", English,125000000.0,1341511219.0,1216511219.0,158706916.09725305,1703256867.8188531,1544549951.7216
The Help,2011,82.0,Drama, English,25000000.0,213120004.0,188120004.0,31741383.219450608,270588948.74779385,238847565.52834326
"Monsters, Inc.",2001,78.0,"Animation,Comedy,Family", English,115000000.0,560483719.0,445483719.0,185451298.7012987,903847248.6042068,718395949.9029081
Pirates of the Caribbean: At World's End,2007,72.0,"Adventure,Fantasy,Action", English,300000000.0,961000000.0,661000000.0,413223080.7072373,1323691268.5321834,910468187.8249462
Shrek 2,2004,72.0,"Animation,Family,Comedy,Fantasy,Adventure,Romance", English,70000000.0,935253978.0,865253978.0,105831921.65166755,1413996081.7729487,1308164160.1212811
Fifty Shades Freed,2018,67.0,"Drama,Romance", English,55000000.0,371985018.0,316985018.0,62553911.280848406,423074869.34139633,360520958.0605479
Spider-Man: Into the Spider-Verse,2018,84.0,"Action,Adventure,Animation,Science Fiction", English,90000000.0,375540831.0,285540831.0,102360945.73229739,427119051.3583652,324758105.6260678
Harry Potter and the Deathly Hallows: Part 1,2010,78.0,"Adventure,Fantasy", English,250000000.0,954305868.0,704305868.0,327433090.5822358,1249885278.8800128,922452188.2977768
The Shack,2017,75.0,"Drama,Fantasy", English,20000000.0,96860808.0,76860808.0,23302464.09921671,112854775.05205613,89552310.95283943
Pirates of the Caribbean: The Curse of the Black Pearl,2003,78.0,"Adventure,Fantasy,Action", English,140000000.0,655011224.0,515011224.0,217300543.47826087,1016673535.4254348,799372991.947174
The Remaining,2014,59.0,"Thriller,Horror", English,7270000.0,1169603.0,-6100397.0,8770426.339889161,1410992.7040458573,-7359433.635843303
