Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Thriller,Animation,Adventure,Music,Comedy,History,Drama,Romance,Documentary,Mystery,Family,Fantasy,Action,Science Fiction,War,Horror,TV Movie,Western,Crime
Noah,2014,56.0,"Drama,Adventure",2,English,130000000.0,352831065.0,222831065.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ant-Man,2015,71.0,"Science Fiction,Action,Adventure",3,English,130000000.0,518858449.0,388858449.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Frozen II,2019,73.0,"Family,Animation,Adventure,Comedy,Fantasy",5,English,150000000.0,1437862795.0,1287862795.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Shrek the Third,2007,63.0,"Fantasy,Adventure,Animation,Comedy,Family",5,English,160000000.0,807330936.0,647330936.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ratatouille,2007,78.0,"Animation,Comedy,Family,Fantasy",4,English,150000000.0,626549695.0,476549695.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Deadpool,2016,76.0,"Action,Adventure,Comedy",3,English,58000000.0,781947691.0,723947691.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Good Dinosaur,2016,68.0,"Adventure,Animation,Family",3,English,187500000.0,333771037.0,146271037.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Paul, Apostle of Christ",2018,75.0,"Drama,History",2,English,5000000.0,26078500.0,21078500.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Real Steel,2011,70.0,"Action,Science Fiction,Drama",3,English,110000000.0,263880341.0,153880341.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Cars,2006,69.0,"Animation,Adventure,Comedy,Family",4,English,70000000.0,461630558.0,391630558.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Puss in Boots,2011,65.0,"Comedy,Fantasy,Animation,Romance,Adventure,Family",6,English,130000000.0,554987477.0,424987477.0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
The Fate of the Furious,2017,69.0,"Action,Crime,Thriller",3,English,250000000.0,1236703796.0,986703796.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Boyka: Undisputed IV,2016,71.0,"Action,Drama",2,English,119400000.0,343644155.0,224244155.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Big Hero 6,2014,77.0,"Adventure,Family,Animation,Action,Comedy",5,English,165000000.0,647263005.0,482263005.0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Dungeons & Dragons,2001,43.0,"Drama,Adventure,Fantasy",3,English,35000000.0,15185241.0,-19814759.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Killing Jesus,2015,65.0,"Drama,History,TV Movie",3,English,35580000.0,258973331.6,223393331.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Inside Out,2015,79.0,"Animation,Family,Adventure,Drama,Comedy",5,English,175000000.0,850566343.0,675566343.0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Fury,2014,75.0,"War,Drama,Action",3,English,80000000.0,210315681.0,130315681.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Undisputed III: Redemption,2010,76.0,"Action,Thriller",2,English,3000000.0,78701381.8,75701381.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Amazing Spider-Man,2012,67.0,"Action,Adventure,Fantasy",3,English,220000000.0,757890267.0,537890267.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Evil Dead,2013,65.0,Horror,1,English,17000000.0,99010045.0,82010045.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spider-Man: Homecoming,2017,74.0,"Action,Adventure,Science Fiction,Drama",4,English,175000000.0,878271291.0,703271291.0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
World War Z,2013,68.0,"Action,Drama,Horror,Science Fiction,Thriller",5,English,190000000.0,531861650.0,341861650.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
Charlie and the Chocolate Factory,2005,70.0,"Adventure,Comedy,Family,Fantasy",4,English,150000000.0,475825484.0,325825484.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
How to Train Your Dragon: The Hidden World,2019,78.0,"Animation,Family,Adventure",3,English,129000000.0,521533238.0,392533238.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pacific Rim,2013,69.0,"Action,Science Fiction,Adventure",3,English,190000000.0,411002906.0,221002906.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Hangover,2009,73.0,Comedy,1,English,35000000.0,465487583.0,430487583.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Emperor's New Groove,2001,75.0,"Adventure,Animation,Comedy,Family,Fantasy",5,English,100000000.0,169630573.0,69630573.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Nun,2018,59.0,"Horror,Mystery,Thriller",3,English,22000000.0,363391647.0,341391647.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Superfast!,2015,50.0,"Comedy,Action",2,English,20000000.0,3146707.8,-16853292.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Parent Trap,1998,71.0,"Comedy,Family",2,English,15000000.0,92108518.0,77108518.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Furious 7,2015,72.0,"Action,Thriller,Crime",3,English,190000000.0,1514553486.0,1324553486.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
The Conjuring 2,2016,73.0,"Horror,Thriller",2,English,40000000.0,321834351.0,281834351.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Inception,2010,84.0,"Action,Science Fiction,Adventure",3,English,160000000.0,728537960.0,568537960.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Frozen,2013,72.0,"Animation,Family,Adventure,Fantasy",4,English,150000000.0,1256887580.0,1106887580.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
God's Not Dead: A Light in Darkness,2018,69.0,Drama,1,English,56400000.0,5728940.0,-50671060.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Prince of Egypt,1998,72.0,"Adventure,Animation,Drama,Family",4,English,60000000.0,218613188.0,158613188.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
It Chapter Two,2019,69.0,"Horror,Fantasy",2,English,79000000.0,473122525.0,394122525.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
The Lord of the Rings: The Fellowship of the Ring,2001,84.0,"Adventure,Fantasy,Action",3,English,93000000.0,891216824.0,798216824.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Finding Nemo,2003,78.0,"Animation,Family",2,English,94000000.0,936094852.0,842094852.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Grown Ups 2,2013,61.0,Comedy,1,English,80000000.0,247023808.0,167023808.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor,2011,68.0,"Adventure,Fantasy,Action",3,English,150000000.0,449326618.0,299326618.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Captain America: Civil War,2016,74.0,"Adventure,Action,Science Fiction",3,English,250000000.0,1151899586.0,901899586.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dungeons & Dragons: Wrath of the Dragon God,2005,43.0,"Action,Adventure,Fantasy,TV Movie",4,English,102300000.0,633555866.2,531255866.20000005,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Doctor Strange,2016,74.0,"Action,Adventure,Fantasy",3,English,165000000.0,676343174.0,511343174.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Transformers: Age of Extinction,2014,59.0,"Science Fiction,Action,Adventure",3,English,210000000.0,1104054072.0,894054072.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Joseph: King of Dreams,2000,68.0,"Family,Animation",2,English,79000000.0,601957369.0,522957369.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
An Interview with God,2018,71.0,"Drama,Mystery",2,English,105000000.0,496783754.4,391783754.4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Up,2009,79.0,"Animation,Comedy,Family,Adventure",4,English,175000000.0,731463377.0,556463377.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,66.0,"Adventure,Action,Fantasy",3,English,230000000.0,794861794.0,564861794.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
The Amazing Spider-Man 2,2014,65.0,"Action,Adventure,Fantasy",3,English,200000000.0,708996336.0,508996336.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ice Age: Dawn of the Dinosaurs,2009,67.0,"Animation,Comedy,Family,Adventure",4,English,90000000.0,886686817.0,796686817.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toy Story 2,1999,76.0,"Animation,Comedy,Family",3,English,90000000.0,511358276.0,421358276.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Grown Ups,2010,64.0,Comedy,1,English,75000000.0,272222420.0,197222420.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidden Figures,2017,81.0,"Drama,History",2,English,25000000.0,230677636.0,205677636.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Twilight Saga: Eclipse,2010,62.0,"Adventure,Fantasy,Drama,Romance",4,English,68000000.0,706102828.0,638102828.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Samson,2018,58.0,"Action,Drama,Adventure",3,English,8101468.0,4873825.0,-3227643.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
