Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Doctor Strange,2016-10-27,74.0,"Action,Adventure,Fantasy", English,165000000.0,676343174.0,511343174.0
Transformers: Age of Extinction,2014-06-26,59.0,"Science Fiction,Action,Adventure", English,210000000.0,1104054072.0,894054072.0
Joseph: King of Dreams,2000-11-07,68.0,"Family,Animation", English,79000000.0,601957369.0,522957369.0
An Interview with God,2018-10-25,71.0,"Drama,Mystery", English,105000000.0,496783754.4,391783754.4
Up,2009-09-03,79.0,"Animation,Comedy,Family,Adventure", English,175000000.0,731463377.0,556463377.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-25,66.0,"Adventure,Action,Fantasy", English,230000000.0,794861794.0,564861794.0
The Amazing Spider-Man 2,2014-04-17,65.0,"Action,Adventure,Fantasy", English,200000000.0,708996336.0,508996336.0
Ice Age: Dawn of the Dinosaurs,2009-07-01,67.0,"Animation,Comedy,Family,Adventure", English,90000000.0,886686817.0,796686817.0
Toy Story 2,1999-12-02,76.0,"Animation,Comedy,Family", English,90000000.0,511358276.0,421358276.0
Grown Ups,2010-06-24,64.0,Comedy, English,75000000.0,272222420.0,197222420.0
Hidden Figures,2017-02-16,81.0,"Drama,History", English,25000000.0,230677636.0,205677636.0
The Twilight Saga: Eclipse,2010-07-01,62.0,"Adventure,Fantasy,Drama,Romance", English,68000000.0,706102828.0,638102828.0
Samson,2018-02-16,58.0,"Action,Drama,Adventure", English,8101468.0,4873825.0,-3227643.0
Deadpool 2,2018-05-16,75.0,"Action,Comedy,Adventure", English,110000000.0,786362370.0,676362370.0
San Andreas,2015-05-28,62.0,"Action,Drama,Thriller", English,110000000.0,456258539.0,346258539.0
Risen,2016-02-18,61.0,"Action,History,Adventure,Drama", English,20000000.0,46244066.0,26244066.0
Super Mario Bros: This Ain't No Video Game,2014-11-03,34.0,Documentary, English,54640000.0,329856760.8,275216760.8
Ted 2,2015-06-25,63.0,"Comedy,Fantasy", English,68000000.0,217214143.0,149214143.0
The Exorcist,2001-03-22,77.0,Horror, English,12000000.0,428214478.0,416214478.0
The Hunger Games: Catching Fire,2013-11-21,74.0,"Adventure,Action,Science Fiction", English,130000000.0,864868047.0,734868047.0
I Am Legend,2008-01-03,72.0,"Drama,Science Fiction,Thriller", English,150000000.0,585410052.0,435410052.0
Avatar: Creating the World of Pandora,2010-02-07,70.0,Documentary, English,100140523.8,625891229.0,525750705.2
Kingsman: The Secret Service,2015-02-05,76.0,"Crime,Comedy,Action,Adventure", English,94000000.0,404561724.0,310561724.0
The Lord of the Rings: The Return of the King,2003-12-26,85.0,"Adventure,Fantasy,Action", English,94000000.0,1121386981.0,1027386981.0
Thor: The Dark World,2013-10-31,65.0,"Action,Adventure,Fantasy", English,150000000.0,644602516.0,494602516.0
Overcomer,2019-08-22,77.0,Drama, English,5000000.0,38093564.0,33093564.0
Journey 2: The Mysterious Island,2012-01-19,61.0,"Adventure,Action,Science Fiction", English,79000000.0,318146162.0,239146162.0
The Twilight Saga: Breaking Dawn - Part 2,2012-11-15,65.0,"Adventure,Fantasy,Drama,Romance", English,120000000.0,829747654.0,709747654.0
The Vatican Tapes,2015-07-24,53.0,"Thriller,Horror", English,13000000.0,14929184.0,1929184.0
The Hunger Games: Mockingjay - Part 2,2015-11-19,69.0,"Action,Adventure,Science Fiction", English,160000000.0,647396133.0,487396133.0
Scary Movie,2000-08-31,63.0,Comedy, English,19000000.0,277200000.0,258200000.0
The Dark Knight,2008-07-16,85.0,"Drama,Action,Crime,Thriller", English,185000000.0,1006234167.0,821234167.0
Miracles from Heaven,2016-06-17,74.0,"Family,Drama", English,13000000.0,73773317.0,60773317.0
Toy Story 4,2019-06-19,75.0,"Family,Adventure,Animation,Comedy,Fantasy", English,200000000.0,1073064540.0,873064540.0
Iron Man 3,2013-04-24,69.0,"Action,Adventure,Science Fiction", English,200000000.0,1215392272.0,1015392272.0
Prometheus,2012-06-07,65.0,"Science Fiction,Adventure,Mystery", English,125000000.0,402448265.0,277448265.0
